GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
0022200001,1610612755,PHI,Philadelphia,1630531,Jaden Springer,Jaden,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200001,1610612738,BOS,Boston,1627759,Jaylen Brown,Jaylen,F,,38:34,9,0,10,12,14,6,2,32,1,1,1,3
0022200001,1610612738,BOS,Boston,1628369,Jayson Tatum,Jayson,F,,38:37,8,0,10,14,11,6,2,32,1,0,1,7
0022200001,1610612738,BOS,Boston,201143,Al Horford,Al,C,,23:06,0,0,0,0,4,3,0,24,0,0,4,0
0022200001,1610612738,BOS,Boston,1628401,Derrick White,Derrick,G,,24:02,0,0,0,0,4,5,2,16,0,1,2,4
0022200001,1610612738,BOS,Boston,203935,Marcus Smart,Marcus,G,,36:05,5,0,1,2,14,6,2,30,0,0,3,7
0022200001,1610612738,BOS,Boston,203943,Noah Vonleh,Noah,,,20:10,0,0,0,2,4,3,2,12,1,1,4,0
0022200001,1610612738,BOS,Boston,1629684,Grant Williams,Grant,,,23:57,0,0,3,4,12,2,0,20,0,0,3,2
0022200001,1610612738,BOS,Boston,1627763,Malcolm Brogdon,Malcolm,,,23:52,0,4,0,10,7,5,0,14,0,0,2,1
0022200001,1610612738,BOS,Boston,201933,Blake Griffin,Blake,,,8:17,0,0,0,0,5,2,0,6,0,0,3,1
0022200001,1610612738,BOS,Boston,1630573,Sam Hauser,Sam,,,3:19,0,0,0,0,0,2,0,4,0,0,1,0
0022200001,1610612738,BOS,Boston,1631120,JD Davison,JD,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200001,1610612738,BOS,Boston,1628382,Justin Jackson,Justin,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200001,1610612738,BOS,Boston,1629662,Mfiondu Kabengele,Mfiondu,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200001,1610612738,BOS,Boston,1628436,Luke Kornet,Luke,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200001,1610612738,BOS,Boston,1630202,Payton Pritchard,Payton,,DNP - Coach's Decision,,,,,,,,,,,,,
GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
0022200002,1610612747,LAL,Los Angeles,1629022,Lonnie Walker IV,Lonnie,F,,29.000000:17,0,0,0,4,17,6,17,24,1,0,0,1
0022200002,1610612747,LAL,Los Angeles,2544,LeBron James,LeBron,F,,35.000000:12,9,2,11,18,20,4,17,24,0,1,2,4
0022200002,1610612747,LAL,Los Angeles,203076,Anthony Davis,Anthony,C,,35.000000:36,3,2,9,20,24,10,12,32,1,1,2,7
0022200002,1610612747,LAL,Los Angeles,201566,Russell Westbrook,Russell,G,,30.000000:41,2,0,4,12,14,8,6,32,0,1,1,3
0022200002,1610612747,LAL,Los Angeles,201976,Patrick Beverley,Patrick,G,,24.000000:40,0,0,0,0,12,6,7,18,2,0,5,3
0022200002,1610612747,LAL,Los Angeles,1630559,Austin Reaves,Austin,,,16.000000:00,3,0,3,2,11,4,6,8,0,0,1,1
0022200002,1610612747,LAL,Los Angeles,1629134,Kendrick Nunn,Kendrick,,,23.000000:03,0,0,0,4,17,6,7,26,0,0,2,0
0022200002,1610612747,LAL,Los Angeles,1629308,Juan Toscano-Anderson,Juan,,,14.000000:18,0,0,0,0,7,2,0,10,0,0,1,1
0022200002,1610612747,LAL,Los Angeles,1629117,Wenyen Gabriel,Wenyen,,,7.000000:48,0,0,0,0,3,0,5,4,0,1,2,2
0022200002,1610612747,LAL,Los Angeles,1630346,Matt Ryan,Matt,,,17.000000:49,0,0,0,0,10,4,8,12,0,0,2,0
0022200002,1610612747,LAL,Los Angeles,1631306,Cole Swider,Cole,,,1.000000:52,0,0,0,0,0,0,0,0,0,0,0,0
0022200002,1610612747,LAL,Los Angeles,1630590,Scotty Pippen Jr.,Scotty,,,1.000000:52,0,0,0,0,0,0,0,0,0,0,0,1
0022200002,1610612747,LAL,Los Angeles,1631108,Max Christie,Max,,,1.000000:52,0,0,0,0,0,0,0,0,0,0,0,0
0022200002,1610612747,LAL,Los Angeles,1627745,Damian Jones,Damian,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200002,1610612744,GSW,Golden State,203952,Andrew Wiggins,Andrew,F,,29.000000:28,2,0,2,4,7,2,18,44,1,0,5,1
0022200002,1610612744,GSW,Golden State,203110,Draymond Green,Draymond,F,,24.000000:41,2,0,2,4,7,4,14,30,0,1,1,1
0022200002,1610612744,GSW,Golden State,1626172,Kevon Looney,Kevon,C,,21.000000:08,2,2,2,6,7,2,11,30,0,0,2,1
0022200002,1610612744,GSW,Golden State,202691,Klay Thompson,Klay,G,,19.000000:39,0,2,0,2,4,2,7,22,0,0,3,3
0022200002,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:48,3,2,3,10,10,2,21,48,1,2,1,5
0022200002,1610612744,GSW,Golden State,1629673,Jordan Poole,Jordan,,,28.000000:11,5,0,3,0,13,4,15,30,0,0,2,1
0022200002,1610612744,GSW,Golden State,1630164,James Wiseman,James,,,16.000000:31,0,0,2,6,8,0,9,16,1,1,2,3
0022200002,1610612744,GSW,Golden State,203210,JaMychal Green,JaMychal,,,23.000000:26,5,2,0,2,12,2,13,30,0,0,1,0
0022200002,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,,,13.000000:04,0,0,0,0,8,0,7,10,1,0,2,1
0022200002,1610612744,GSW,Golden State,1628978,Donte DiVincenzo,Donte,,,21.000000:37,5,0,0,2,9,2,14,30,0,0,2,1
0022200002,1610612744,GSW,Golden State,1630541,Moses Moody,Moses,,,7.000000:35,3,2,3,2,0,0,6,10,0,0,0,1
0022200002,1610612744,GSW,Golden State,1631157,Ryan Rollins,Ryan,,,1.000000:52,0,0,0,0,0,0,0,0,0,0,2,0
0022200002,1610612744,GSW,Golden State,1631116,Patrick Baldwin Jr.,Patrick,,DNP - Coach's Decision,,,,,,,,,,,,,
GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
0022200005,1610612745,HOU,Houston,201569,Eric Gordon,Eric,F,,29:19,0,0,2,6,15,4,15,32,0,1,2,3
0022200005,1610612745,HOU,Houston,1631095,Jabari Smith Jr.,Jabari,F,,32:54,3,2,0,4,19,6,19,40,0,0,4,1
0022200005,1610612745,HOU,Houston,1628981,Bruno Fernando,Bruno,C,,25:02,0,0,0,4,11,6,11,24,2,0,0,3
0022200005,1610612745,HOU,Houston,1630224,Jalen Green,Jalen,G,,32:13,0,3,4,12,17,6,17,34,1,1,3,1
0022200005,1610612745,HOU,Houston,1629645,Kevin Porter Jr.,Kevin,G,,33:57,2,3,0,10,17,6,17,34,0,1,2,0
0022200005,1610612745,HOU,Houston,1630231,Kenyon Martin Jr.,Kenyon,,,22:42,2,0,0,2,11,6,9,22,0,1,4,3
0022200005,1610612745,HOU,Houston,1631106,Tari Eason,Tari,,,15:06,4,2,4,8,9,2,9,16,0,0,1,0
0022200005,1610612745,HOU,Houston,1630578,Alperen Sengun,Alperen,,,22:05,2,4,0,8,17,2,17,32,0,1,3,4
0022200005,1610612745,HOU,Houston,1629726,Garrison Mathews,Garrison,,,14:03,0,0,0,0,11,2,11,22,0,0,1,2
0022200005,1610612745,HOU,Houston,1630528,Josh Christopher,Josh,,,12:39,0,0,0,6,13,0,15,24,0,0,0,1
0022200005,1610612745,HOU,Houston,1630586,Usman Garuba,Usman,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200005,1610612745,HOU,Houston,1631309,Trevor Hudgins,Trevor,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200005,1610612745,HOU,Houston,1626246,Boban Marjanovic,Boban,,DNP - Coach's Decision,,,,,,,,,,,,,
0022200005,1610612737,ATL,Atlanta,1629631,De'Andre Hunter,De'Andre,F,,32:08,8,2,6,10,9,6,6,38,0,1,3,1
0022200005,1610612737,ATL,Atlanta,1628381,John Collins,John,F,,33:39,0,0,0,10,7,10,4,44,0,0,3,2
0022200005,1610612737,ATL,Atlanta,203991,Clint Capela,Clint,C,,26:02,2,2,0,2,9,6,6,32,2,0,2,1
0022200005,1610612737,ATL,Atlanta,1627749,Dejounte Murray,Dejounte,G,,38:14,4,2,8,8,7,10,6,52,1,1,0,2
0022200005,1610612737,ATL,Atlanta,1629027,Trae Young,Trae,G,,37:54,3,2,5,10,11,10,8,40,1,1,1,7
0022200005,1610612737,ATL,Atlanta,1630552,Jalen Johnson,Jalen,,,14:21,0,0,4,2,6,4,6,16,0,0,2,2
